company_id,name,industry,city,country,founded,hq,overview,emp_count
united-rentals,United Rentals,construction,Stamford,United States,1997.0,"100 First Stamford Place, Suite 700 Stamford, CT 06902 United States","As North America’s largest equipment rental company, with 880+ stores in the United States and Canada, we serve construction and industrial companies, utilities, municipalities, homeowners, and communities, with the goal of fulfilling customer needs and surpassing expectations.

We go beyond equipment. We are the world’s largest fleet of problem solvers, with best-in-class specialty solutions, safety training and 24/7 support to empower your success.

For more updates -
Follow us on Twitter: www.UnitedRentals.com/Twitter  
Like us on Facebook: www.UnitedRentals.com/Facebook 
Join us on Google+: www.UnitedRentals.com/Google
See more videos: www.UnitedRentals.com/YouTube",10770.0
nordstrom,Nordstrom,retail,,,1901.0,,"At Nordstrom, we empower our employees to set their sights high and blaze their own trails. This is a place where your success and growth are truly a result of your own efforts and achievements. 

Our teams are made up of motivated people who work hard to become leaders within the company, at all levels of the organization. These well-traveled paths show how hard work, loyalty, a competitive spirit and your unwavering commitment to the customer can take you and your career to new places.  

In addition to being a great place to have a career, we’re also committed to respecting the environment and supporting our communities. To learn more, check out NordstromCares.com.

Interested in joining the Nordstrom team?  

See some of our current opportunities under our Careers tab or visit careers.nordstrom.com to apply today.",90007.0
expeditors,Expeditors,logistics and supply chain,Seattle,United States,1979.0,"1015 3rd Ave Seattle, Washington 98104 United States","Expeditors is a global logistics company headquartered in Seattle, Washington. As a Fortune 500 (390) company, we employ over 15,300 trained professionals in a worldwide network of over 250 locations across six continents. Expeditors satisfy the increasingly sophisticated needs of international trade through customized solutions and seamless, integrated information systems. Our services include air and ocean freight consolidation and forwarding, vendor consolidation, customs clearance, cargo insurance, distribution and other value-added logistics services.

At Expeditors, we pride ourselves on being a solutions-based organization and take the time to understand each customer's individual business needs. As a non-asset based organization, we have considerable flexibility when managing customers'​ supply chains. Due to our relationships with local suppliers and global air and ocean partners, we can provide customers with the best routing and pricing options. Our comprehensive, flexible spectrum of services is supported by leading-edge information technology that provides a high level of visibility from end to end.

To maintain consistent quality and customer service across the globe, Expeditors has regional headquarters located in London, Dubai, Shanghai and Singapore. 

At Expeditors, our industry professionals, award winning processes and globally unified systems ensure that we always live up to our promise, ""You'd be surprised how far we'll go for you.""​",16713.0
jack-henry-&-associates,Jack Henry & Associates,computer software,Monett,United States,1976.0,"663 W. Highway 60 P.O. Box 807 Monett, Missouri 65708 United States","Jack Henry & Associates, Inc. provides integrated computer systems for in-house and outsourced data processing to commercial banks, credit unions, and other financial institutions primarily in the United States. The company's software systems consist of integrated applications to process deposit, loan, and general ledger transactions, and to maintain centralized customer/member information. It offers three banking platforms, including SilverLake, CIF 20/20, and Core Director; two credit union platforms comprising Episys and Cruise; and solutions for increasing security and mitigating operational risks, and controlling operating costs. 

JHA provides complementary products and services, such as business intelligence and management solutions, retail delivery solutions, business banking solutions, EFT solutions, Internet banking solutions, risk management and protection solutions, item and document imaging solutions, payment processing solutions, and professional services and education. 

Jack Henry delivers solutions to banks and credit unions  nationwide through 3 business units; Jack Henry Banking, ProfitStars, and Symitar.",4858.0
ppg-industries,PPG Industries,chemicals,Pittsburgh,United States,1883.0,"One PPG Place Pittsburgh, PA 15272 United States","PPG: WE PROTECT AND BEAUTIFY THE WORLD™
At PPG (NYSE:PPG), we work every day to develop and deliver the paints, coatings and materials that our customers have trusted for more than 130 years. Through dedication and creativity, we solve our customers’ biggest challenges, collaborating closely to find the right path forward. With headquarters in Pittsburgh, we operate and innovate in more than 70 countries and reported net sales of $14.8 billion in 2016. We serve customers in construction, consumer products, industrial and transportation markets and aftermarkets. To learn more, visit www.ppg.com and follow @PPG on Twitter.",27869.0
the-coca-cola-company,The Coca-Cola Company,food & beverages,Atlanta,United States,,"One Coca-Cola Plaza Atlanta, GA 30313 United States","The Coca-Cola Company (NYSE: KO) is the world's largest beverage company, refreshing consumers with more than 500 sparkling and still brands. Together with our bottling partners, we rank among the world's top 10 private employers with more than 700,000 system associates.

Led by Coca-Cola, one of the world's most valuable and recognizable brands, our Company's portfolio features 20 billion-dollar brands, including Diet Coke, Fanta, Sprite, Coca-Cola Zero, vitaminwater, Powerade, Minute Maid, Simply, Georgia, Dasani, FUZE TEA and Del Valle. Globally, we are the No. 1 provider of sparkling beverages, ready-to-drink coffees, and juices and juice drinks. Through the world's largest beverage distribution system, consumers in more than 200 countries enjoy our beverages at a rate of more than 1.9 billion servings a day.

With an enduring commitment to building sustainable communities, our Company is focused on initiatives that reduce our environmental footprint; support active, healthy living; create a safe, inclusive work environment for our associates; and enhance the economic development of the communities where we operate.

For more information, visit Coca-Cola Journey at www.coca-colacompany.com, follow us on Twitter at twitter.com/CocaColaCo, like us on Facebook at facebook.com/thecocacolaco, visit our blog, Coca-Cola Unbottled, at www.coca-colablog.com, or find us on LinkedIn at www.linkedin.com/company/the-coca-cola-company.",85116.0
m&t-bank,M&T Bank,financial services,Buffalo,United States,1856.0,"345 Main St. Buffalo, New York 14203 United States","M&T Bank is a multi-state community-focused bank serving New York, Maryland, New Jersey, Pennsylvania, Delaware, Connecticut, Virginia, West Virginia and Washington, D.C. Founded in 1856, the company provides banking, investment, insurance and mortgage financial services to more than 3.6 million consumer, business and government clients.

Equal Housing Lender. NMLS #381076. © 2016 M&T Bank. Member FDIC.",18587.0
tripadvisor,TripAdvisor,internet,Needham,United States,2000.0,"400 1st Ave Needham, MA 02494 United States","TripAdvisor® is the world's largest travel site**, enabling travelers to unleash the potential of every trip. TripAdvisor offers advice from millions of travelers and a wide variety of travel choices and planning features with seamless links to booking tools that check hundreds of websites to find the best hotel prices. TripAdvisor branded sites make up the largest travel community in the world, reaching 390 million average monthly unique visitors*, and reached 435 million reviews and opinions covering 6.8 million accommodations, restaurants and attractions. The sites operate in 49 markets worldwide. TripAdvisor: Know better. Book better. Go better.

TripAdvisor, Inc. (NASDAQ:TRIP), through its subsidiaries, manages and operates websites under 24 other travel media brands: 
www.airfarewatchdog.com, www.bookingbuddy.com, www.citymaps.com, www.cruisecritic.com, www.familyvacationcritic.com, www.flipkey.com, www.thefork.com (including www.lafourchette.com, www.eltenedor.com, www.iens.nl, www.besttables.com and www.dimmi.com.au), www.gateguru.com, www.holidaylettings.co.uk, www.holidaywatchdog.com, www.housetrip.com, www.independenttraveler.com, www.jetsetter.com, www.niumba.com, www.onetime.com, www.oyster.com, www.seatguru.com, www.smartertravel.com, www.tingo.com, www.travelpod.com, www.tripbod.com, www.vacationhomerentals.com, www.viator.com, and www.virtualtourist.com.

*Source: TripAdvisor log files, average monthly unique visitors, Q3 2016

**Source: comScore Media Metrix for TripAdvisor Sites, worldwide, July 2016",4542.0
sempra-energy,Sempra Energy,utilities,San Diego,United States,1998.0,"488 8th Ave San Diego, CA 92101 United States","Sempra Energy, based in San Diego, is a Fortune 500 energy services holding company with 2015 revenues of more than $10 billion. The Sempra Energy companies'​ 17,000 employees serve more than 32 million consumers worldwide.

Our California utilities, San Diego Gas & Electric Co. and Southern California Gas Co., serve more than 20 million consumers. And our other businesses develop energy infrastructure and provide related products and services to consumers around the world.

Due to our size, scope and resources, we're able to compete in energy markets both nationally and internationally. And we have the resources to take part in markets and businesses that connect people and ideas in many more ways than ever.",4333.0
texas-instruments,Texas Instruments,semiconductors,Dallas,United States,,"12500 TI Boulevard Dallas, TX 75243 United States","Texas Instruments (TI) is a global analog and digital semiconductor IC design and manufacturing company. In addition to analog technologies, digital signal processing (DSP) and microcontroller (MCU) semiconductors, TI designs and manufactures semiconductor solutions for analog and digital embedded, application processing, and Education Technology.",55645.0
