from,to,migration_count
at&t,oracle,367
colgate-palmolive,nike,30
agilent-technologies,stryker,8
ebay,expedia,34
comcast,republic-services-inc,7
aon,aig,122
costco-wholesale,apple,35
facebook,cisco,23
john-deere,ge,38
ross-stores,walmart,123
american-express,prudential-financial,68
target,aflac,58
at&t,te-connectivity,27
cme-group,jpmorgan-chase,24
jpmorgan-chase,humana,48
united-airlines,intel-corporation,8
the-home-depot,jpmorgan-chase,75
xerox,newellbrands,6
xerox,sherwin-williams,7
wellsfargo,sherwin-williams,15
boeing,adobe,16
jefferies,aig,5
cardinal-health,oracle,10
cisco,bank-of-america,88
ibm,allergan,21
nordstrom,oracle,32
johnson-controls,marriott-international,3
honeywell,itw,8
unitedhealth-group,labcorp,17
exxonmobil,halliburton,81
microsoft,tripadvisor,22
netapp,schlumberger,2
state-street,amazon,18
eaton-corporation,schlumberger,38
jpmorgan-chase,dentsplysirona,2
church-&-dwight-co-inc,discovery-communications,1
general-dynamics,ibm,51
gap-inc-,best-buy,58
alliant-energy,ibm,7
intuit,salesforce,53
ppg-industries,lowe%27s-home-improvement,18
kohls-department-stores,simon-property-group,4
cintas,iron-mountain,24
apple,the-walt-disney-company,64
charles-schwab,cognizant,13
target,the-walt-disney-company,101
procter-&-gamble,baxter-healthcare,64
procter-&-gamble,alcoa,6
pepsico,prologis,3
honeywell,prudential-financial,10
stryker,edwards-lifesciences,25
analog-devices,intel-corporation,125
mckesson,davita,14
motorolasolutions,cadence-design-systems,5
honeywell,albemarle,8
mckesson,ford-motor-company,7
agilent-technologies,lockheed-martin,41
fedex,hilton-worldwide,20
spglobal,cognizant,7
exxonmobil,johnson-&-johnson,58
leggett-&-platt,johnson-controls,12
johnson-controls,air-products,9
pepsico,northrop-grumman-corporation,18
the-hershey-company,facebook,2
applied-materials,stanley-black-decker-inc,4
medtronic,wellsfargo,49
ups,capital-one,20
johnson-&-johnson,the-clorox-company,56
apple,verizon,40
ibm,sysco,15
autodesk,morgan-stanley,19
hca,cigna,24
3m,fastenal,6
travelers,ups,5
zions-bancorporation,nordstrom,1
at&t,western-union,17
broadcom,hp,20
3m,cvs-health,5
abbott-,apple,23
hewlett-packard-enterprise,limited-brands,9
chevron,walmart,31
pvh,nike,13
kellogg-company,ge,16
bank-of-america,delta-air-lines,44
pepsico,kroger,30
citi,chubb,27
walgreens,anthem,5
newellbrands,microsoft,8
dish-network,google,9
mattel,facebook,3
citi,h&r-block,47
us-bank,adp,37
honeywell,best-buy,13
the-home-depot,johnson-controls,20
intel-corporation,blackrock,11
hilton-worldwide,agilent-technologies,1
goldman-sachs,delta-air-lines,3
parker-hannifin,caterpillar-inc,32
cummins-inc,cvs-health,4
dow-chemical,consumers-energy,15
exxonmobil,celanese,35
metlife,mondelezinternational,8
american-water,verizon,3
costco-wholesale,kohls-department-stores,19
travelers,walgreens,2
lowe%27s-home-improvement,ameren,2
wellsfargo,te-connectivity,4
yum-brands,colgate-palmolive,3
microsoft,carmax,3
general-motors,verizon,14
csx-transportation,citi,17
raytheon,american-airlines,12
wellsfargo,humana,35
marathon-oil-corporation,dow-chemical,8
